order_id,customer_id,order_date,product,quantity,price
8995,2347,2024-02-11,Phone,5,801.81
4621,2931,2024-05-10,Phone,4,697.88
6811,2693,2024-06-02,Mouse,2,641.39
3717,2841,2024-03-10,Phone,2,690.71
9993,2288,2023-10-28,Monitor,2,405.67
8302,2821,2024-02-18,Phone,6,512.44
6325,2169,2024-01-07,Mouse,5,95.44
5865,2326,2024-07-03,Mouse,7,806.01
2697,2811,2023-12-04,Mouse,2,293.61
8480,2921,2024-02-16,Phone,8,198.14
4025,2511,2023-11-11,Mouse,10,811.88
8902,2998,2023-11-02,Keyboard,6,563.34
4877,2230,2024-03-28,Keyboard,4,3.01
6116,2866,2024-08-02,Laptop,1,67.67
1227,2648,2024-02-24,Mouse,5,812.78
5517,2921,2024-05-09,Mouse,8,670.00
4853,2500,2024-02-14,Laptop,6,414.92
1346,2169,2024-08-03,Monitor,1,145.29
3523,2298,2024-08-01,Headphones,7,642.26
4349,2873,2023-10-06,Monitor,8,641.63
5143,2454,2024-07-28,Laptop,6,485.38
8031,2297,2023-11-10,Mouse,3,176.21
9943,2236,2024-03-28,Laptop,3,328.13
9608,2067,2024-01-03,Keyboard,2,223.81
4619,2071,2024-02-07,Monitor,10,103.37
5967,2565,2024-03-17,Headphones,7,627.25
8475,2567,2024-04-29,Laptop,8,741.71
9553,2909,2024-04-30,Monitor,3,443.51
6704,2368,2023-09-23,Keyboard,5,508.04
1477,2403,2024-09-03,Headphones,5,490.19
8726,2440,2024-01-26,Phone,10,741.29
3397,2130,2024-09-09,Monitor,4,338.80
8421,2580,2024-05-01,Monitor,1,672.58
1555,2810,2024-09-02,Mouse,1,256.04
4835,2355,2024-05-05,Mouse,6,970.04
1929,2005,2024-04-18,Headphones,4,200.32
2131,2161,2023-09-22,Mouse,3,3.85
5445,2541,2024-09-07,Keyboard,2,978.25
8126,2488,2024-05-04,Laptop,10,273.73
7283,2012,2024-03-10,Mouse,9,607.91
5605,2350,2024-07-11,Phone,1,713.39
6122,2978,2023-09-25,Keyboard,7,787.66
8706,2789,2023-12-31,Monitor,5,800.25
7280,2244,2024-01-26,Laptop,1,541.70
6261,2745,2024-08-24,Laptop,8,645.80
4354,2932,2024-06-12,Monitor,8,684.70
3243,2778,2023-11-30,Monitor,8,315.17
8890,2928,2024-07-19,Monitor,6,676.83
4859,2337,2023-09-26,Headphones,10,622.74
7504,2668,2024-04-24,Laptop,2,84.42
7019,2921,2023-11-10,Phone,5,59.92
3023,2750,2024-06-25,Monitor,8,733.53
6753,2776,2024-01-30,Monitor,7,732.96
5391,2058,2024-07-14,Keyboard,9,888.16
7919,2890,2023-09-25,Mouse,5,303.46
3748,2450,2024-06-09,Monitor,3,503.84
3810,2353,2024-06-26,Headphones,4,699.90
8046,2908,2023-10-16,Phone,9,322.52
1306,2442,2023-09-25,Monitor,2,913.29
1756,2626,2024-01-04,Laptop,4,615.44
9452,2178,2023-10-09,Phone,2,355.78
6704,2926,2024-08-16,Monitor,9,598.46
7354,2843,2024-01-04,Monitor,6,951.85
2879,2494,2023-10-20,Mouse,4,484.57
9045,2731,2024-01-28,Phone,6,579.80
2462,2566,2024-03-26,Mouse,3,282.03
5416,2109,2024-03-09,Headphones,7,658.98
9621,2176,2024-06-16,Headphones,4,209.15
6306,2746,2024-07-10,Keyboard,6,146.96
5143,2734,2024-02-21,Keyboard,9,369.66
4527,2630,2024-08-22,Laptop,3,864.71
8465,2647,2023-09-20,Keyboard,3,674.98
6090,2245,2024-03-03,Headphones,1,343.73
1686,2026,2023-10-08,Headphones,1,418.02
5038,2684,2024-08-23,Phone,4,102.54
6504,2869,2024-09-04,Laptop,4,538.09
1556,2907,2024-08-14,Phone,4,420.54
1812,2541,2024-02-26,Keyboard,3,774.74
8641,2119,2024-04-25,Headphones,1,258.70
2793,2758,2024-05-17,Phone,7,577.84
1043,2313,2024-03-21,Headphones,5,95.64
2039,2490,2023-09-26,Monitor,9,650.74
8095,2233,2023-10-09,Keyboard,8,71.36
7150,2811,2024-09-17,Keyboard,8,383.94
7268,2217,2024-06-23,Phone,2,904.37
4858,2528,2023-12-01,Monitor,4,826.97
5004,2391,2023-09-25,Headphones,4,598.85
9841,2242,2024-08-30,Keyboard,7,666.40
6783,2233,2024-01-20,Keyboard,10,534.36
6507,2356,2023-10-03,Headphones,4,468.77
8889,2485,2024-02-19,Keyboard,6,605.52
3667,2247,2024-03-13,Phone,6,39.88
7713,2752,2024-01-21,Monitor,8,103.89
9306,2677,2023-10-07,Monitor,6,533.93
9077,2528,2024-06-22,Headphones,4,497.61
5654,2268,2024-06-03,Monitor,3,6.18
2518,2818,2024-05-09,Monitor,5,109.20
3311,2306,2024-08-03,Laptop,8,557.01
3303,2327,2024-04-29,Phone,6,935.69
6763,2509,2024-08-27,Headphones,1,694.74
3030,2046,2024-05-24,Laptop,6,358.03
6304,2271,2023-12-25,Headphones,7,749.30
9095,2103,2024-05-12,Mouse,6,44.67
7766,2056,2023-11-07,Keyboard,6,831.37
3645,2069,2024-07-15,Keyboard,8,79.63
7992,2384,2023-10-15,Headphones,9,853.00
2903,2378,2024-05-21,Phone,5,978.67
6953,2903,2024-03-09,Monitor,5,912.00
7848,2294,2024-06-20,Monitor,8,701.59
7000,2219,2024-09-17,Monitor,10,393.71
3787,2844,2023-11-14,Monitor,4,4.57
1007,2917,2024-05-21,Phone,10,541.11
2818,2084,2024-05-20,Phone,4,663.50
9346,2628,2024-08-01,Phone,9,194.09
9176,2920,2024-06-06,Laptop,1,310.52
3760,2945,2023-12-03,Phone,1,143.42
1192,2330,2024-05-19,Headphones,8,411.11
2519,2219,2024-04-27,Phone,5,590.63
8265,2580,2024-07-22,Laptop,9,461.33
8520,2921,2023-11-02,Laptop,2,494.80
1331,2581,2023-10-20,Keyboard,1,702.27
1373,2303,2024-03-01,Headphones,7,50.32
3666,2906,2023-11-19,Phone,8,483.23
1677,2172,2024-03-14,Mouse,10,664.10
4291,2025,2023-10-16,Headphones,4,600.88
3596,2711,2024-06-24,Keyboard,10,146.21
7637,2482,2023-12-04,Keyboard,3,433.90
2350,2258,2024-03-04,Mouse,10,298.88
6830,2855,2024-09-06,Keyboard,5,242.15
7653,2944,2024-01-18,Phone,5,603.39
6441,2856,2024-07-17,Laptop,9,375.06
3929,2742,2023-12-07,Phone,5,529.68
1340,2974,2024-07-14,Keyboard,4,270.25
1472,2251,2024-09-02,Keyboard,6,173.51
9313,2010,2024-01-29,Mouse,6,957.12
2435,2275,2024-08-22,Laptop,6,881.41
5165,2746,2023-11-10,Monitor,3,739.76
5025,2973,2023-12-01,Headphones,3,429.44
1706,2923,2023-12-15,Laptop,3,199.01
8835,2706,2024-03-23,Phone,4,940.37
9261,2271,2024-02-03,Keyboard,1,97.51
8844,2167,2024-06-19,Keyboard,10,511.90
8214,2733,2024-08-20,Headphones,2,955.35
5879,2611,2023-09-27,Mouse,3,917.92
4826,2763,2024-07-06,Monitor,6,153.39
3135,2158,2024-02-04,Mouse,6,149.43
5434,2565,2023-09-26,Headphones,6,192.50
8978,2314,2024-05-16,Phone,8,671.42
5470,2932,2024-01-24,Keyboard,5,34.19
6907,2620,2024-04-27,Laptop,6,243.10
3477,2003,2024-02-27,Monitor,10,960.66
8535,2142,2024-03-17,Laptop,7,873.69
2811,2283,2023-10-28,Phone,9,795.23
7970,2080,2023-10-07,Laptop,6,518.13
6781,2445,2024-03-30,Headphones,1,393.32
8708,2785,2024-01-22,Laptop,4,595.53
2284,2055,2023-10-10,Monitor,1,847.76
6854,2477,2024-05-08,Laptop,5,0.92
5002,2793,2024-09-05,Keyboard,9,973.96
7879,2177,2024-02-09,Mouse,4,348.10
6095,2926,2023-12-05,Mouse,8,515.86
8864,2567,2024-05-30,Laptop,10,834.54
8176,2168,2024-06-10,Keyboard,9,17.20
7084,2736,2024-07-12,Phone,3,682.49
5577,2022,2023-10-31,Phone,4,93.95
8251,2646,2024-02-14,Monitor,7,227.46
3734,2518,2024-07-19,Monitor,4,354.34
6323,2211,2024-05-10,Monitor,3,472.59
5375,2839,2024-06-11,Keyboard,3,594.50
7375,2586,2024-01-07,Mouse,8,13.82
9055,2464,2024-03-31,Keyboard,3,391.18
8634,2394,2023-11-11,Mouse,1,427.64
8459,2154,2023-11-11,Monitor,1,750.78
3769,2605,2024-08-03,Mouse,1,845.15
6568,2351,2024-08-25,Keyboard,2,372.64
6715,2199,2023-12-15,Keyboard,10,121.18
8608,2057,2024-05-26,Headphones,2,407.68
2630,2551,2024-03-12,Monitor,8,882.71
5293,2987,2024-08-09,Headphones,7,354.65
1353,2520,2024-06-21,Headphones,7,588.58
2976,2208,2024-07-16,Mouse,9,13.15
5681,2393,2024-02-26,Mouse,2,553.01
5315,2877,2024-02-15,Laptop,3,98.22
9011,2790,2023-10-18,Monitor,4,341.60
1527,2167,2024-03-07,Monitor,4,326.55
1004,2750,2024-07-16,Monitor,3,436.53
6853,2413,2024-08-12,Monitor,10,549.16
5932,2631,2024-04-17,Laptop,6,594.70
5878,2033,2024-09-02,Monitor,9,294.69
5539,2763,2024-04-07,Mouse,1,524.77
6319,2839,2023-09-22,Keyboard,8,443.70
8780,2344,2024-03-09,Phone,4,709.63
6952,2637,2023-09-24,Headphones,8,696.75
7660,2690,2024-07-21,Phone,2,746.74
8167,2648,2024-02-06,Headphones,8,434.85
4905,2536,2023-11-06,Phone,2,500.07
4606,2316,2023-11-26,Monitor,3,29.08
4623,2209,2024-04-19,Laptop,9,877.59
8850,2677,2024-08-24,Phone,1,835.67
6626,2912,2024-04-06,Mouse,4,728.31
1398,2154,2024-02-12,Phone,5,652.02
7072,2855,2023-10-30,Keyboard,2,560.75
6800,2170,2024-03-10,Headphones,10,705.61
1268,2165,2024-09-09,Headphones,3,825.21
5734,2273,2023-10-03,Monitor,3,71.29
9243,2315,2024-04-18,Mouse,5,129.66
8642,2751,2023-12-19,Mouse,4,712.81
8714,2553,2024-06-02,Mouse,6,524.55
9352,2214,2024-04-29,Keyboard,5,799.97
5936,2372,2023-12-24,Headphones,10,740.38
7955,2997,2024-04-20,Phone,4,374.31
9589,2752,2024-04-16,Phone,1,857.98
3401,2124,2024-04-01,Monitor,6,687.73
1601,2055,2024-01-23,Phone,7,768.36
4232,2751,2023-09-26,Headphones,8,527.93
1888,2306,2024-08-27,Mouse,1,150.03
5722,2460,2024-04-23,Mouse,4,483.73
8578,2571,2024-05-04,Headphones,4,944.69
3184,2049,2024-04-02,Monitor,2,421.28
3921,2985,2024-07-20,Laptop,5,64.16
9619,2865,2023-12-24,Mouse,9,111.49
4743,2903,2024-06-08,Mouse,7,252.24
2663,2059,2024-03-27,Keyboard,9,638.64
2353,2445,2023-12-13,Headphones,1,413.86
6616,2166,2024-08-03,Laptop,3,429.68
6781,2342,2024-02-24,Keyboard,2,889.58
9291,2415,2023-11-11,Mouse,8,340.89
7765,2945,2024-08-30,Keyboard,1,465.23
4628,2589,2024-06-19,Monitor,4,120.15
8897,2368,2023-12-23,Keyboard,5,360.44
7703,2987,2024-08-30,Phone,5,102.25
6158,2784,2023-11-15,Keyboard,3,659.43
5779,2752,2024-08-30,Headphones,8,716.30
1675,2130,2023-11-04,Mouse,10,285.28
6971,2118,2024-03-27,Phone,4,922.54
3419,2651,2024-09-07,Monitor,7,949.64
5550,2751,2024-04-12,Keyboard,9,325.92
1039,2878,2024-09-05,Laptop,5,467.25
2825,2367,2024-06-29,Headphones,1,90.68
4443,2436,2024-02-07,Laptop,1,238.80
1419,2532,2024-02-25,Headphones,3,610.39
3378,2050,2024-07-15,Keyboard,2,591.90
5494,2878,2023-09-20,Phone,3,621.53
7002,2678,2024-06-01,Keyboard,2,995.12
8932,2351,2024-05-30,Laptop,9,292.56
1174,2617,2023-12-27,Phone,7,979.77
8920,2302,2024-01-14,Phone,5,334.27
4772,2797,2023-09-23,Monitor,4,986.29
4113,2241,2023-11-09,Laptop,4,888.90
3471,2354,2024-06-25,Phone,4,101.08
4140,2085,2024-07-13,Phone,4,984.71
9566,2704,2024-04-15,Phone,3,350.68
5618,2915,2024-02-09,Mouse,5,207.75
8650,2195,2024-04-12,Keyboard,3,75.55
3152,2981,2024-03-13,Laptop,8,617.75
2224,2912,2023-11-02,Keyboard,10,413.36
4871,2630,2024-05-04,Phone,10,280.59
2748,2032,2024-02-14,Phone,8,87.73
1880,2065,2024-03-23,Keyboard,3,987.55
1855,2048,2024-06-30,Headphones,3,4.17
3550,2584,2023-11-02,Mouse,8,65.73
1079,2330,2024-07-30,Monitor,6,413.66
6003,2710,2023-10-12,Phone,8,6.76
6381,2071,2024-08-06,Headphones,3,821.93
9839,2468,2024-07-31,Headphones,9,610.49
4111,2745,2024-04-11,Headphones,8,155.18
2559,2595,2023-11-07,Monitor,9,736.06
9824,2669,2024-08-01,Phone,8,346.41
4632,2880,2024-05-02,Monitor,5,17.35
5063,2681,2024-02-06,Laptop,4,73.50
8158,2519,2024-09-05,Monitor,6,756.12
1760,2785,2024-01-16,Keyboard,2,178.40
4508,2321,2024-07-04,Laptop,9,303.22
3110,2912,2024-02-21,Mouse,8,500.69
4798,2173,2024-07-03,Laptop,9,43.11
8468,2146,2024-04-07,Mouse,7,493.60
9772,2809,2024-01-14,Mouse,1,259.48
